id;name;status;created_at;updated_at;deleted_at
1;grow;57147;2019-11-30T07:05:16;2019-11-29T14:39:21;2019-11-30T05:35:15
2;Fresh payment synthesize;58336;2019-11-30T02:44:20;2019-11-29T09:20:50;2019-11-29T22:50:02
3;Glen Refined;52837;2019-11-30T03:04:22;2019-11-29T21:58:02;2019-11-29T09:19:19
4;Industrial Designer Incredible Fresh Car;52770;2019-11-29T10:14:52;2019-11-29T08:36:30;2019-11-29T10:22:50
5;Optional;69541;2019-11-29T09:10:34;2019-11-30T06:37:43;2019-11-29T19:53:06
6;Savings Account;69574;2019-11-30T01:22:17;2019-11-29T21:31:49;2019-11-29T08:32:22
7;Naira iterate;73710;2019-11-30T07:20:54;2019-11-29T10:28:24;2019-11-30T01:41:46
8;Brand Regional Court;62013;2019-11-30T00:23:00;2019-11-30T01:46:55;2019-11-30T04:22:01
9;withdrawal;38826;2019-11-29T23:57:31;2019-11-30T02:56:01;2019-11-29T18:25:53
10;Fantastic;97439;2019-11-30T02:12:01;2019-11-29T08:46:13;2019-11-29T21:33:41
11;Ha Noi;1;2019-12-03T12:13:45;2019-12-03T12:13:45
12;Bac Ninh;1;2019-12-03T12:13:45;2019-12-03T12:13:45
13;Bac Giang;1;2019-12-03T12:13:45;2019-12-03T12:13:45
14;Phu Ly;1;2019-12-03T12:13:45;2019-12-03T12:13:45
15;Ninh Binh;1;2019-12-03T12:13:45;2019-12-03T12:13:45
16;Hai Duong;1;2019-12-03T12:13:45;2019-12-03T12:13:45
17;Hung Yen;1;2019-12-03T12:13:45;2019-12-03T12:13:45
18;Hai Phong;1;2019-12-03T12:13:45;2019-12-03T12:13:45
19;Quang Ninh;1;2019-12-03T12:13:45;2019-12-03T12:13:45
20;Da Nang;1;2019-12-03T12:13:45;2019-12-03T12:13:45
21;Vinh;1;2019-12-03T12:13:45;2019-12-03T12:13:45
22;Nha Trang;1;2019-12-03T12:13:45;2019-12-03T12:13:45
23;Bien Hoa;1;2019-12-03T12:13:45;2019-12-03T12:13:45
24;Ho Chi Minh;1;2019-12-03T12:13:45;2019-12-03T12:13:45
25;Can Tho;1;2019-12-03T12:13:45;2019-12-03T12:13:45
